Anatolian_Neolithic_Farmer,0.1179017,0.1800873,0.0034255,-0.1010589,0.0512402,-0.0479692,-0.0037992,-0.006846,0.0361667,0.0806776,0.0082614,0.0113088,-0.0241636,0.0005791,-0.0427122,-0.0103696,0.0225564,0.0013883,0.0136487,-0.0104478,-0.0142612,0.0056932,-0.0049042,-0.0037505,-0.0044357
Caucasus_Hunter-Gatherer,0.08992,0.103584,-0.088246,-0.004845,-0.089555,0.020359,0.023266,-0.001154,-0.130486,-0.080002,-0.007632,0.024878,-0.052626,0.007707,0.026465,-0.0297,0.027772,-0.010769,-0.023757,0.037518,0.030945,-0.006677,0.0053,-0.020846,0.001557
Zagros_Neolithic_Farmer,0.0421147,0.0667993,-0.1550383,0.0016150,-0.1217321,0.0223112,0.0140486,-0.0009743,-0.0802869,-0.0544482,-0.0022734,-0.0019649,0.0050710,-0.0074929,0.0307030,0.0559381,-0.0067801,0.0063627,0.0139943,-0.0338357,0.0073897,-0.0276846,-0.0096544,-0.0376896,0.0216212
Natufian_Hunter-Gatherer,0.0290250,0.1431895,-0.0313010,-0.1393755,0.0350835,-0.0793440,-0.0178610,-0.0193840,0.1136130,0.0055580,0.0300420,-0.0205320,0.0758910,-0.0004815,0.0117395,0.0079555,-0.0107565,-0.0008235,-0.0191690,0.0319525,0.0055525,-0.0003710,-0.0017255,-0.0013255,0.0058675
East_European_Hunter-Gatherer,0.1212215,0.0393518,0.1280323,0.2022798,-0.0093863,0.0569633,-0.0195648,-0.0263063,-0.0089480,-0.0842385,0.0179033,-0.0148368,0.0261273,-0.0449683,0.0224275,0.0209163,-0.0089640,0.0006020,-0.0051850,0.0153510,-0.0063638,0.0185480,0.0095518,-0.0199125,-0.0085920
West_European_Hunter-Gatherer,0.1263440,0.1127235,0.1947825,0.1918630,0.1592605,0.0599615,0.0163335,0.0398060,0.0968420,0.0170390,-0.0155895,-0.0165605,0.0204410,-0.0031655,0.0574780,0.0673555,0.0050850,0.0057645,-0.0089875,0.0594035,0.1087460,0.0114380,-0.0467725,-0.1717715,0.0191600
North_African_Neolithic_Farmer,-0.180979,0.092413,-0.019987,-0.089148,0.033237,-0.059125,-0.077318,0.019615,0.156256,-0.000364,0.022734,-0.028025,0.074628,-0.047205,0.072746,-0.0297,0.00352,-0.062964,-0.149204,0.04252,-0.043299,-0.118212,0.081467,-0.005904,0.027902
North_American_Hunter-Gatherer,0.053497,-0.335125,0.107857,0.075582,-0.107405,-0.020917,-0.192004,-0.233529,-0.004909,-0.019317,-0.006171,0.008393,0.003717,-0.007294,-0.006515,-0.008751,0.000782,0.007601,0.006285,0.006128,-0.000749,-0.005564,0.00986,0.00723,0.00491
South_American_Hunter-Gatherer,0.0466675,-0.2993272,0.1169075,0.1010185,-0.110559,-0.0197315,-0.2754912,-0.33264,-0.008539,-0.0202735,0.004831,0.001049,0.0015608,0.0182695,-0.0069898,0.0049392,0.005998,-0.0013302,0.004085,0.0041892,-0.0009045,0.008656,0.0010478,-0.0032232,-0.0020058
Melanesian,-0.042115,-0.227479,-0.232306,0.254525,0.180957,-0.410527,0,0.005538,-0.028633,-0.011663,-0.003248,0.005995,0.001041,-0.000826,-0.002307,-0.001326,-0.003781,-0.005954,-0.006788,0.005378,0.006613,-0.009274,0.001972,-0.001205,-0.008622
